ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount
25255,1,digitalis lutea,Digitalis lutea,285825,,species,1
25257,1,citrobacter freundii,Citrobacter freundii,546,,species,1
25261,1,abelmoschus esculentus,Abelmoschus esculentus,455045,,species,1
25264,1,codium latum,Codium latum,221047,,species,1
25265,1,acetobacter methanolicus,Acidomonas methanolica,437,acetobacter methanolicus,species,1
25267,1,chlorostoma argyrostoma turbinatum,Tegula turbinatum,761901,chlorostoma argyrostoma turbinatum,species,1
25272,1,polygala klotzschii,Acanthocladus brasiliensis,2698660,polygala klotzschii,species,1
25275,1,tivela mactroides,Tivela mactroides,345374,,species,1
25279,1,aesculus indica,Aesculus indica,531823,,species,1
25283,1,lipomyces starkeyi,Lipomyces starkeyi,29829,,species,1
25285,1,erwinia amylovora t,Podospora comata,48703,erwinia amylovora t,species,1
25290,1,volvariella volvacea,Volvariella volvacea,36659,,species,1
25292,1,mycobacterium haemophilum,Mycobacterium haemophilum,29311,,species,1
25294,1,trifolium pratense,Trifolium pratense,57577,,species,1
25298,1,verbascum songaricum,Verbascum songaricum,1685578,,species,1
25300,1,bupleurum fruticosum,Bupleurum fruticosum,48103,,species,1
25304,1,lactococcus garvieae,Lactococcus garvieae,1363,,species,1
25307,1,chironomus tentans,Chironomus tentans,7153,,species,1
25310,1,laminaria digitata,Laminaria digitata,80365,,species,1
25312,1,cistus salvifolius,Cistus salviifolius,335170,cistus salvifolius,species,1
25315,1,staphylococcus aureus,Staphylococcus aureus,1280,,species,1
25318,1,albizzia julibrissin,Albizia julibrissin,3813,albizzia julibrissin,species,1
25322,1,verbascum nigrum,Verbascum nigrum,90364,,species,1
25323,1,crocosmia crocosmiiflora,Crocosmia x crocosmiiflora,1053288,crocosmia crocosmiiflora,species,1
25327,1,ricinus communis,Ricinus communis,3988,,species,1
25329,1,plantago depressa,Plantago depressa,411227,,species,1
25333,1,trypanosoma brucei brucei,Trypanosoma brucei brucei,5702,,subspecies,1
25336,1,randia dumetorum,Catunaregam spinosa,136894,randia dumetorum,species,1
25339,1,solanum anguivi,Solanum anguivi,329760,,species,1
25342,1,tubocapsicum,Tubocapsicum,180579,,genus,1
25345,1,aralia decaisneana,Aralia decaisneana,1603692,,species,1
25347,1,phyllanthus emblica,Emblica officinalis,296036,phyllanthus emblica,species,1
25349,1,streptosporangium viridogriseum,Kutzneria viridogrisea,47990,streptosporangium viridogriseum,species,1
25352,1,crotalaria thebaica,Crotalaria thebaica,1978221,,species,1
25354,1,lithospermum erythrorhizon,Lithospermum erythrorhizon,34254,,species,1
25357,1,hibiscus moscheutos,Hibiscus moscheutos,241598,,species,1
25359,1,serratia marcescens,Serratia marcescens,615,,species,1
25361,1,streptococcus faecium,Enterococcus faecium,1352,streptococcus faecium,species,1
25364,1,pseudomonas atlantica,Pseudoalteromonas atlantica,288,pseudomonas atlantica,species,1
25369,1,simmondsia chinensis,Simmondsia chinensis,3999,,species,1
25371,1,acacia senegal,Senegalia senegal,138043,acacia senegal,species,1
25375,1,asclepias fruticosa,Gomphocarpus fruticosus,219240,asclepias fruticosa,species,1
25377,1,blastocrithidia culicis,Strigomonas culicis,28005,blastocrithidia culicis,species,1
25380,1,aspergillus giganteus,Aspergillus giganteus,5060,,species,1
25383,1,bufo japonicus japonicus,Bufo japonicus japonicus,1175986,,subspecies,1
25385,1,balaenoptera edeni,Balaenoptera edeni,9769,,species,1
25389,1,porphyromonas gingivalis,Porphyromonas gingivalis,837,,species,1
25396,1,dactylis glomerata,Dactylis glomerata,4509,,species,1
25398,1,clostridium thermocellum,Acetivibrio thermocellus,1515,clostridium thermocellum,species,1
25401,1,phlomis medicinalis,Phlomoides medicinalis,1138144,phlomis medicinalis,species,1
25404,1,serratia plymuthica,Serratia plymuthica,82996,,species,1
25406,1,fraxinus malacophylla,Fraxinus malacophylla,880141,,species,1
25410,1,rana catesbeiana,Aquarana catesbeiana,8400,rana catesbeiana,species,1
25415,1,klebsiella pneumoniae,Klebsiella pneumoniae,573,,species,1
25417,1,aphanoascus fulvescens,Aphanoascus fulvescens,73174,,species,1
25420,1,evolvulus pilosus,Evolvulus pilosus,1037433,,species,1
25422,1,thladiantha dubia,Thladiantha dubia,210344,,species,1
25425,1,erwinia carotovora,Pectobacterium carotovorum,554,erwinia carotovora,species,1
25429,1,rhodobacter sphaeroides,Cereibacter sphaeroides,1063,rhodobacter sphaeroides,species,1
25433,1,schizosaccharomyces japonicus,Schizosaccharomyces japonicus,4897,,species,1
25435,1,streptomyces ribosidificus,Streptomyces ribosidificus,80859,,species,1
25438,1,oreochromis mossambicus,Oreochromis mossambicus,8127,,species,1
25441,1,mycobacterium malmoense,Mycobacterium malmoense,1780,,species,1
25443,1,streptococcus rattus,Streptococcus ratti,1341,streptococcus rattus,species,1
25447,1,microsporum gypseum,Nannizzia gypsea,63402,microsporum gypseum,species,1
25449,1,streptococcus thermophilus,Streptococcus thermophilus,1308,,species,1
25455,1,lilium longiflorum,Lilium longiflorum,4690,,species,1
25457,1,mucor hiemalis,Mucor hiemalis,64493,,species,1
25461,1,acropora formosa,Acropora formosa,126732,,species,1
25463,1,sophora japonica,Styphnolobium japonicum,3897,sophora japonica,species,1
25468,1,brassica campestris,Brassica rapa subsp. oleifera,145471,brassica campestris,subspecies,1
25470,1,moringa oleifera,Moringa oleifera,3735,,species,1
25474,1,paris axialis,Paris axialis,221258,,species,1
25477,1,paris polyphylla,Paris polyphylla,49666,,species,1
25481,1,hydrangea,Hydrangea,23109,,genus,1
25484,1,leishmania adleri,Leishmania adleri,5674,,species,1
25487,1,crotalaria juncea,Crotalaria juncea,3829,,species,1
25489,1,leuconostoc mesenteroides,Leuconostoc mesenteroides,1245,,species,1
25491,1,trachycarpus fortunei,Trachycarpus fortunei,14027,,species,1
25495,1,erythrina caffra,Erythrina caffra,3842,,species,1
25497,1,pseudomonas diminuta,Brevundimonas diminuta,293,pseudomonas diminuta,species,1
25500,1,pereskia grandifolia,Pereskia grandifolia,307724,,species,1
25503,1,hirudinaria manillensis,Hirudinaria manillensis,1348078,,species,1
25506,1,smilax lebrunii,Smilax lebrunii,1045152,,species,1
25508,1,aster tataricus,Aster tataricus,588669,,species,1
25512,1,achyranthes aspera,Achyranthes aspera,240005,,species,1
25514,1,aerococcus viridans,Aerococcus viridans,1377,,species,1
25515,1,lysimachia sikokiana,Lysimachia sikokiana,1736094,,species,1
25516,1,leptadenia reticulata,Leptadenia reticulata,492004,,species,1
25519,1,prunus padus,Prunus padus,97307,,species,1
25521,1,liriope spicata,Liriope spicata,100521,,species,1
25523,1,furcellaria lumbricalis,Furcellaria lumbricalis,28020,,species,1
25526,1,nocardia corynebacteroides,Rhodococcoides corynebacterioides,53972,nocardia corynebacteroides,species,1
26526,1,laminaria japonica,Saccharina japonica,88149,laminaria japonica,species,1
26530,1,mycobacterium avium,Mycobacterium avium,1764,,species,1
26532,1,porphyra umbilicalis,Porphyra umbilicalis,2786,,species,1
26534,1,mycobacterium peregrinum,Mycolicibacterium peregrinum,43304,mycobacterium peregrinum,species,1
26538,1,beta vulgaris,Beta vulgaris,161934,,species,1
26541,1,khaya ivorensis,Khaya ivorensis,486173,,species,1
26547,1,chlorophytum,Chlorophytum,16046,,genus,1
26549,1,actinidia deliciosa,Actinidia deliciosa,3627,,species,1
26551,1,camassia cusickii,Camassia cusickii,81742,,species,1
26553,1,opuntia ficus-indica,Opuntia ficus-indica,371859,,species,1
26554,1,lophopetalum toxicum,Toxicum,1272110,lophopetalum toxicum,genus,1
26556,1,plantago asiatica,Plantago asiatica,197796,,species,1
26558,1,ganoderma tsugae,Polyporus tsugae,2075311,ganoderma tsugae,species,1
26562,1,nolina recurvata,Beaucarnea recurvata,39519,nolina recurvata,species,1
26565,1,sesamum indicum,Sesamum indicum,4182,,species,1
26568,1,vigna radiata,Vigna radiata,157791,,species,1
26570,1,bupleurum wenchuanense,Bupleurum wenchuanense,359524,,species,1
26574,1,bellevalia romana,Bellevalia romana,352818,,species,1
26577,1,solanum melongena,Solanum melongena,4111,,species,1
26581,1,lycopus europaeus,Lycopus europaeus,260603,,species,1
26583,1,macaca arctoides,Macaca arctoides,9540,,species,1
26585,1,spirometra erinacei,Spirometra erinaceieuropaei,99802,spirometra erinacei,species,1
26588,1,chorda filum,Chorda filum,64905,,species,1
26590,1,salvelinus namaycush,Salvelinus namaycush,8040,,species,1
26593,1,osmaronia cerasiformis,Oemleria cerasiformis,32237,osmaronia cerasiformis,species,1
26598,1,polypodium vulgare,Polypodium vulgare,58048,,species,1
26601,1,nocardia,Nocardia,1817,,genus,1
26604,1,cimicifuga simplex,Actaea simplex,64042,cimicifuga simplex,species,1
26610,1,schizonepeta tenuifolia,Schizonepeta tenuifolia,2849020,,species,1
26612,1,clematis montana,Clematis montana,454322,,species,1
26614,1,yersinia pestis,Yersinia pestis,632,,species,1
26616,1,trillium grandiflorum,Trillium grandiflorum,55186,,species,1
26618,1,trypanosoma cruzi,Trypanosoma cruzi,5693,,species,1
26620,1,salmonella bareilly,Salmonella enterica subsp. enterica serovar Bareilly,58096,salmonella bareilly,no rank,1
26623,1,bacteroides cellulosolvens,Pseudobacteroides cellulosolvens,35825,bacteroides cellulosolvens,species,1
26625,1,aegopodium podagraria,Aegopodium podagraria,40902,,species,1
26627,1,streptococcus hemolyticus,Streptococcus pyogenes,1314,streptococcus hemolyticus,species,1
26631,1,eupenicillium,Penicillium,5073,eupenicillium,genus,1
26634,1,aster scaber,Aster scaber,385370,,species,1
26636,1,trichoderma longibrachiatum,Trichoderma longibrachiatum,5548,,species,1
26638,1,achillea micrantha,Achillea micrantha,282747,,species,1
26640,1,rhodomicrobium vannielii,Rhodomicrobium vannielii,1069,,species,1
26643,1,dracaena cambodiana,Dracaena cambodiana,580341,,species,1
26645,1,haemophilus influenzae,Haemophilus influenzae,727,,species,1
26647,1,withania coagulans,Withania coagulans,180581,,species,1
26649,1,swartzia madagascariensis,Bobgunnia madagascariensis,149635,swartzia madagascariensis,species,1
26653,1,phodopus sungorus,Phodopus sungorus,10044,,species,1
26654,1,salmonella paratyphi,Salmonella enterica subsp. enterica serovar Paratyphi A,54388,salmonella paratyphi,no rank,1
26658,1,stenella coeruleoalba,Stenella coeruleoalba,9737,,species,1
26663,1,patiria pectinifera,Patiria pectinifera,7594,,species,1
26666,1,acetobacter xylinum,Komagataeibacter xylinus,28448,acetobacter xylinum,species,1
26669,1,malva verticillata,Malva verticillata,446348,,species,1
26671,1,hunteria zeylanica,Hunteria zeylanica,1220079,,species,1
26673,1,kallstroemia pubescens,Kallstroemia pubescens,2603010,,species,1
25531,1,macaca irus,Macaca fascicularis,9541,macaca irus,species,1
25534,1,trypanosoma,Trypanosoma,5690,,genus,1
25536,1,pseudomonas vesicularis,Brevundimonas vesicularis,41276,pseudomonas vesicularis,species,1
25538,1,verticillium dahliae,Verticillium dahliae,27337,,species,1
25542,1,thalictrum,Thalictrum,46968,,genus,1
25544,1,bifidobacterium breve,Bifidobacterium breve,1685,,species,1
25546,1,listeria monocytogenes,Listeria monocytogenes,1639,,species,1
25549,1,astropecten latespinosus,Astropecten latespinosus,60559,,species,1
25551,1,streptosporangium albidum,Kutzneria albida,43357,streptosporangium albidum,species,1
25554,1,epimedium pubescens,Epimedium pubescens,153729,,species,1
25559,1,andryala integrifolia,Andryala integrifolia,122529,,species,1
25561,1,olinia rochetiana,Olinia rochetiana,2984685,,species,1
