ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount
11127,3,schizosaccharomyces pombe,Schizosaccharomyces pombe,4896,,species,null
11128,7,tetrahymena pyriformis,Tetrahymena pyriformis,5908,,species,null
11130,2,schistosoma,Schistosoma,6181,,genus,null
11133,1,erythrina,Erythrina,3841,,genus,null
11136,2,avian influenza virus,unidentified influenza virus,11309,,species,null
11138,6,corylus avellana,Corylus avellana,13451,,species,null
11139,9,schistosoma mansoni,Schistosoma mansoni,6183,,species,null
11142,2,oncorhynchus keta,Oncorhynchus keta,8018,,species,null
11143,23,nicotiana alata,Nicotiana alata,4087,,species,null
11145,5,actinidia chinensis,Actinidia chinensis,3625,,species,null
11147,1,naja kaouthia,Naja kaouthia,8649,,species,null
11148,3,brassica campestris,Brassica rapa subsp. oleifera,145471,,subspecies,null
11150,13,lymnaea stagnalis,Lymnaea stagnalis,6523,,species,null
11154,6,lake victoria marburgvirus,Orthomarburgvirus marburgense,3052505,,species,null
11156,3,raja erinacea,Leucoraja erinaceus,7782,,species,null
11157,1,dasyatis sabina,Hypanus sabinus,79690,,species,null
11159,7,cyprinus carpio,Cyprinus carpio,7962,,species,null
11161,2,paralichthys olivaceus,Paralichthys olivaceus,8255,,species,null
11162,1,halobacterium volcanii,Haloferax volcanii,2246,,species,null
11165,1,volvox carteri,Volvox carteri,3067,,species,null
11166,1,penicillium decumbens,Penicillium decumbens,69771,,species,null
11169,38,spodoptera frugiperda,Spodoptera frugiperda,7108,,species,null
11173,5,ambrosia trifida,Ambrosia trifida,4214,,species,null
11174,29,felis catus,Felis catus,9685,,species,null
11176,16,styela plicata,Styela plicata,7726,,species,null
11177,22,bothrops moojeni,Bothrops moojeni,98334,,species,null
11179,2,escherichia coli k12,Escherichia coli K-12,83333,,strain,null
11180,4,pistacia vera,Pistacia vera,55513,,species,null
11182,1,macaca fuscata fuscata,Macaca fuscata fuscata,9543,,subspecies,null
11184,6,ambystoma mexicanum,Ambystoma mexicanum,8296,,species,null
11185,165,unknown,unidentified,32644,,species,null
11188,152,gallus gallus,Gallus gallus,9031,,species,null
11189,39,oncorhynchus mykiss,Oncorhynchus mykiss,8022,,species,null
11191,26,acer pseudoplatanus,Acer pseudoplatanus,4026,,species,null
11193,1,oryzias latipes,Oryzias latipes,8090,,species,null
11196,39,helix pomatia,Helix pomatia,6536,,species,null
11197,5,rana arvalis,Rana arvalis,156871,,species,null
11198,11,pisum sativum,Pisum sativum,3888,,species,null
11199,341,sus scrofa,Sus scrofa,9823,,species,null
11201,95,pichia pastoris,Komagataella pastoris,4922,,species,null
11203,1,caesalpinia pulcherrima,Caesalpinia pulcherrima,53846,,species,null
11205,3,viscum album,Viscum album,3972,,species,null
11206,2,hyriopsis schlegelii,Sinohyriopsis schlegelii,2706150,,species,null
11208,18,bombyx mori,Bombyx mori,7091,,species,null
11209,2,entamoeba histolytica,Entamoeba histolytica,5759,,species,null
11211,14,carica papaya,Carica papaya,3649,,species,null
11212,1,rhea,Rhea,8796,,genus,null
11214,5,prunus dulcis,Prunus dulcis,3755,,species,null
11216,121,rattus norvegicus,Rattus norvegicus,10116,,species,null
11217,2,providencia rustigianii,Providencia rustigianii,158850,,species,null
11219,10,androctonus australis,Androctonus australis,6858,,species,null
11221,2,halobacterium halobium,Halobacterium salinarum,2242,,species,null
11222,2,nicotiana tabacum,Nicotiana tabacum,4097,,species,null
11224,1,schistosoma haematobium,Schistosoma haematobium,6185,,species,null
11227,5,asterias rubens,Asterias rubens,7604,,species,null
11228,3,macaca irus,Macaca fascicularis,9541,,species,null
11230,4,pinus heldreichii,Pinus heldreichii,88729,,species,null
11232,4,volvox carteri f. nagariensis,Volvox carteri f. nagariensis,3068,,forma,null
11233,4,bufo japonicus,Bufo japonicus,8387,,species,null
11235,3,vigna radiata,Vigna radiata,157791,,species,null
11237,21,mamestra brassicae,Mamestra brassicae,55057,,species,null
11239,1,vatairea macrocarpa,Vatairea macrocarpa,77050,,species,null
11241,23,aspergillus niger,Aspergillus niger,5061,,species,null
11243,3,fabaceae,Fabaceae,3803,,family,null
11244,4,agelenopsis aperta,Agelenopsis aperta,6908,,species,null
11245,23,mammalia,Mammalia,40674,,class,null
11247,7,rana temporaria,Rana temporaria,8407,,species,null
11249,2,ginkgo biloba,Ginkgo biloba,3311,,species,null
11250,433,bos taurus,Bos taurus,9913,,species,null
11252,5,leishmania mexicana amazonensis,Leishmania amazonensis,5659,,species,null
11254,4,sporothrix schenckii,Sporothrix schenckii,29908,,species,null
11255,3,arabidopsis thaliana,Arabidopsis thaliana,3702,,species,null
11258,13,ambystoma tigrinum,Ambystoma tigrinum,8305,,species,null
11259,32,friend murine leukemia virus,Friend murine leukemia virus,11795,,no rank,null
11261,2,momordica charantia,Momordica charantia,3673,,species,null
11262,22,xenopus laevis,Xenopus laevis,8355,,species,null
11264,1,agaricus bisporus,Agaricus bisporus,5341,,species,null
11266,5,blattella germanica,Blattella germanica,6973,,species,null
11267,69,ovis aries,Ovis aries,9940,,species,null
11269,6,abrus precatorius,Abrus precatorius,3816,,species,null
11272,15,canis familiaris,Canis lupus familiaris,9615,,subspecies,null
11273,11,macaca radiata,Macaca radiata,9548,,species,null
11274,1,sindbis virus,Sindbis virus,11034,,species,null
11277,1373,homo sapiens,Homo sapiens,9606,,species,null
