ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,taxon_id,reasoning
25257,1,citrobacter freundii,Citrobacter freundii,546,,species,1,"","",""
25261,1,abelmoschus esculentus,Abelmoschus esculentus,455045,,species,1,"","",""
25264,1,codium latum,Codium latum,221047,,species,1,"","",""
25265,1,acetobacter methanolicus,Acidomonas methanolica,437,acetobacter methanolicus,species,1,"",1041,it was a perfect match in the NCBI database
25267,1,chlorostoma argyrostoma turbinatum,Tegula turbinatum,761901,chlorostoma argyrostoma turbinatum,species,1,Chlorostoma argyrostoma,104823,it was almost the same spelling as the input name in the NCBI database
25272,1,polygala klotzschii,Acanthocladus brasiliensis,2698660,polygala klotzschii,species,1,Polygala klotzschii,104052,it was a perfect match in the NCBI database
25275,1,tivela mactroides,Tivela mactroides,345374,,species,1,Tivela mactroides,8350,it was a perfect match in the NCBI database
25279,1,aesculus indica,Aesculus indica,531823,,species,1,Aesculus indica,3701,it was a perfect match in the NCBI database
25283,1,lipomyces starkeyi,Lipomyces starkeyi,29829,,species,1,Lipomyces starkeyi,5476,it was a perfect match in the NCBI database
25285,1,erwinia amylovora t,Podospora comata,48703,erwinia amylovora t,species,1,Erwinia amylovora,634,it was almost the same spelling as the input name in the NCBI database
25290,1,volvariella volvacea,Volvariella volvacea,36659,,species,1,Volvariella volvacea,2323,it was a perfect match in the NCBI database
25292,1,mycobacterium haemophilum,Mycobacterium haemophilum,29311,,species,1,Mycobacterium haemophilum,1763,it was a perfect match in the NCBI database
25294,1,trifolium pratense,Trifolium pratense,57577,,species,1,Trifolium pratense,38880,it was a perfect match in the NCBI database
25298,1,verbascum songaricum,Verbascum songaricum,1685578,,species,1,Verbascum songaricum,115679,it was a perfect match in the NCBI database
25300,1,bupleurum fruticosum,Bupleurum fruticosum,48103,,species,1,Bupleurum fruticosum,200000,it was a perfect match in the NCBI database
25304,1,lactococcus garvieae,Lactococcus garvieae,1363,,species,1,Lactococcus garvieae,1236,it was a perfect match in the NCBI database
25307,1,chironomus tentans,Chironomus tentans,7153,,species,1,Chironomus tentans,7111,it was a perfect match in the NCBI database
25310,1,laminaria digitata,Laminaria digitata,80365,,species,1,Laminaria digitata,3720,it was a perfect match in the NCBI database
25312,1,cistus salvifolius,Cistus salviifolius,335170,cistus salvifolius,species,1,Cistus salvifolius,194052,it was a perfect match in the NCBI database
