ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name
25255,1,digitalis lutea,Digitalis lutea,285825,,species,1,Digitalis purpurea
25257,1,citrobacter freundii,Citrobacter freundii,546,,species,1,"Citrobacter freundii, Citrobacter freundii"
25261,1,abelmoschus esculentus,Abelmoschus esculentus,455045,,species,1,"Abelmoschus esculentus, Abelmoschus esculentus"
25264,1,codium latum,Codium latum,221047,,species,1,Codium fragile
25265,1,acetobacter methanolicus,Acidomonas methanolica,437,acetobacter methanolicus,species,1,"Acetobacter methanolicus, Acetobacter aceti"
25267,1,chlorostoma argyrostoma turbinatum,Tegula turbinatum,761901,chlorostoma argyrostoma turbinatum,species,1,Chlorostoma argyrostoma
25272,1,polygala klotzschii,Acanthocladus brasiliensis,2698660,polygala klotzschii,species,1,"Polygala klotzschii, Polygala klotzschiana"
25275,1,tivela mactroides,Tivela mactroides,345374,,species,1,Tivela mactroides
25279,1,aesculus indica,Aesculus indica,531823,,species,1,Aesculus hippocastanum
25283,1,lipomyces starkeyi,Lipomyces starkeyi,29829,,species,1,lipomyces starkii
25521,1,liriope spicata,Liriope spicata,100521,,species,1,Liriope muscari
25523,1,furcellaria lumbricalis,Furcellaria lumbricalis,28020,,species,1,"Furcellaria lumbricalis, Furcellaria lumbricalis"
25526,1,nocardia corynebacteroides,Rhodococcoides corynebacterioides,53972,nocardia corynebacteroides,species,1,Nocardia asteroides
26526,1,laminaria japonica,Saccharina japonica,88149,laminaria japonica,species,1,"Laminaria japonica, Laminaria japonica"
26530,1,mycobacterium avium,Mycobacterium avium,1764,,species,1,"Mycobacterium avium, Mycobacterium avium"
26532,1,porphyra umbilicalis,Porphyra umbilicalis,2786,,species,1,"Porphyra umbilicalis, Porphyra tenera"
26534,1,mycobacterium peregrinum,Mycolicibacterium peregrinum,43304,mycobacterium peregrinum,species,1,"Mycobacterium peregrinum, Mycobacterium porcinum"
26538,1,beta vulgaris,Beta vulgaris,161934,,species,1,"Beta vulgaris, Beta vulgaris"
26541,1,khaya ivorensis,Khaya ivorensis,486173,,species,1,Khaya senegalensis
26547,1,chlorophytum,Chlorophytum,16046,,genus,1,Chlorophytum comosum
25285,1,erwinia amylovora t,Podospora comata,48703,erwinia amylovora t,species,1,"Erwinia amylovora, Erwinia amylovora"
25290,1,volvariella volvacea,Volvariella volvacea,36659,,species,1,"Volvariella volvacea, Volvariella volvacea"
25292,1,mycobacterium haemophilum,Mycobacterium haemophilum,29311,,species,1,"
Mycobacterium haemophilum, Mycobacterium marinum"
25294,1,trifolium pratense,Trifolium pratense,57577,,species,1,"Trifolium pratense, Trifolium pratense"
25298,1,verbascum songaricum,Verbascum songaricum,1685578,,species,1,"
Verbascum songaricum, Verbascum thapsus"
25300,1,bupleurum fruticosum,Bupleurum fruticosum,48103,,species,1,Bupleurum rotundifolium
25304,1,lactococcus garvieae,Lactococcus garvieae,1363,,species,1,"Lactococcus garvieae, Lactococcus garvieae"
25307,1,chironomus tentans,Chironomus tentans,7153,,species,1,"Chironomus tentans, Chironomus tentans"
25310,1,laminaria digitata,Laminaria digitata,80365,,species,1,"Laminaria digitata, Laminaria digitata"
25312,1,cistus salvifolius,Cistus salviifolius,335170,cistus salvifolius,species,1,"Cistus salvifolius, Cistus salvifolius"
25315,1,staphylococcus aureus,Staphylococcus aureus,1280,,species,1,"Staphylococcus aureus, Staphylococcus aureus"
25318,1,albizzia julibrissin,Albizia julibrissin,3813,albizzia julibrissin,species,1,"
Albizia julibrissin, Albizia julibrissin"
25322,1,verbascum nigrum,Verbascum nigrum,90364,,species,1,"
Verbascum nigrum, Verbascum thapsus"
25323,1,crocosmia crocosmiiflora,Crocosmia x crocosmiiflora,1053288,crocosmia crocosmiiflora,species,1,"Crocosmia crocosmiiflora, Crocosmia x crocosmiiflora"
25327,1,ricinus communis,Ricinus communis,3988,,species,1,"Ricinus communis, Ricinus communis"
25329,1,plantago depressa,Plantago depressa,411227,,species,1,"
Plantago lanceolata"
