ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,name_match_?,ncbi_species_name,ncbi_species_name_match_?,ncbi_taxon_id,ncbi_taxon_id_match_?
25267,1,chlorostoma argyrostoma turbinatum,Tegula turbinatum,761901,chlorostoma argyrostoma turbinatum,species,1,Tegula turbinatum,Yes,Tegula turbinatum,Yes,761901,Yes
25272,1,polygala klotzschii,Acanthocladus brasiliensis,2698660,polygala klotzschii,species,1,Asemeia klotzschii,No,,No,,No
25318,1,albizzia julibrissin,Albizia julibrissin,3813,albizzia julibrissin,species,1,Albizia julibrissin,Yes,Albizia julibrissin,Yes,3813,Yes
25323,1,crocosmia crocosmiiflora,Crocosmia x crocosmiiflora,1053288,crocosmia crocosmiiflora,species,1,Crocosmia x crocosmiiflora,Yes,Crocosmia x crocosmiiflora,Yes,1053288,Yes
25336,1,randia dumetorum,Catunaregam spinosa,136894,randia dumetorum,species,1,Catunaregam spinosa,Yes,Catunaregam spinosa,Yes,136894,Yes
25347,1,phyllanthus emblica,Emblica officinalis,296036,phyllanthus emblica,species,1,Phyllanthus emblica,No,Emblica officinalis,Yes,296036,Yes
25361,1,streptococcus faecium,Enterococcus faecium,1352,streptococcus faecium,species,1,Enterococcus faecium,Yes,Enterococcus faecium,Yes,1352,Yes
25371,1,acacia senegal,Senegalia senegal,138043,acacia senegal,species,1,Senegalia senegal,Yes,Senegalia senegal,Yes,138043,Yes
25375,1,asclepias fruticosa,Gomphocarpus fruticosus,219240,asclepias fruticosa,species,1,Gomphocarpus fruticosus,Yes,Gomphocarpus fruticosus,Yes,219240,Yes
25377,1,blastocrithidia culicis,Strigomonas culicis,28005,blastocrithidia culicis,species,1,Strigomonas culicis,Yes,Strigomonas culicis,Yes,28005,Yes
25401,1,phlomis medicinalis,Phlomoides medicinalis,1138144,phlomis medicinalis,species,1,Phlomoides medicinalis,Yes,Phlomoides medicinalis,Yes,1138144,Yes
25410,1,rana catesbeiana,Aquarana catesbeiana,8400,rana catesbeiana,species,1,Lithobates catesbeianus,No,Aquarana catesbeiana,Yes,8400,Yes
25425,1,erwinia carotovora,Pectobacterium carotovorum,554,erwinia carotovora,species,1,Pectobacterium carotovorum,Yes,Pectobacterium carotovorum,Yes,554,Yes
25429,1,rhodobacter sphaeroides,Cereibacter sphaeroides,1063,rhodobacter sphaeroides,species,1,Cereibacter sphaeroides,Yes,Cereibacter sphaeroides,Yes,1063,Yes
25443,1,streptococcus rattus,Streptococcus ratti,1341,streptococcus rattus,species,1,Streptococcus ratti,Yes,Streptococcus ratti,Yes,1341,Yes
