ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,name_match_?,chatgpt_taxon_id,taxon_id_match_?,chatgpt_taxon_id_species_name,ncbi_taxon_id,ncbi_taxon_id_match_?,chatgpt_reasoning
25265,1,acetobacter methanolicus,Acidomonas methanolica,437,acetobacter methanolicus,species,1,,,,,,,,
25267,1,chlorostoma argyrostoma turbinatum,Tegula turbinatum,761901,chlorostoma argyrostoma turbinatum,species,1,,,,,,,,
25272,1,polygala klotzschii,Acanthocladus brasiliensis,2698660,polygala klotzschii,species,1,,,,,,,,
25285,1,erwinia amylovora t,Podospora comata,48703,erwinia amylovora t,species,1,,,,,,,,
25312,1,cistus salvifolius,Cistus salviifolius,335170,cistus salvifolius,species,1,,,,,,,,
25318,1,albizzia julibrissin,Albizia julibrissin,3813,albizzia julibrissin,species,1,,,,,,,,
25323,1,crocosmia crocosmiiflora,Crocosmia x crocosmiiflora,1053288,crocosmia crocosmiiflora,species,1,,,,,,,,
25336,1,randia dumetorum,Catunaregam spinosa,136894,randia dumetorum,species,1,,,,,,,,
25347,1,phyllanthus emblica,Emblica officinalis,296036,phyllanthus emblica,species,1,,,,,,,,
25349,1,streptosporangium viridogriseum,Kutzneria viridogrisea,47990,streptosporangium viridogriseum,species,1,,,,,,,,
25361,1,streptococcus faecium,Enterococcus faecium,1352,streptococcus faecium,species,1,,,,,,,,
25364,1,pseudomonas atlantica,Pseudoalteromonas atlantica,288,pseudomonas atlantica,species,1,,,,,,,,
25371,1,acacia senegal,Senegalia senegal,138043,acacia senegal,species,1,,,,,,,,
25375,1,asclepias fruticosa,Gomphocarpus fruticosus,219240,asclepias fruticosa,species,1,,,,,,,,
25377,1,blastocrithidia culicis,Strigomonas culicis,28005,blastocrithidia culicis,species,1,,,,,,,,
25398,1,clostridium thermocellum,Acetivibrio thermocellus,1515,clostridium thermocellum,species,1,,,,,,,,
25401,1,phlomis medicinalis,Phlomoides medicinalis,1138144,phlomis medicinalis,species,1,,,,,,,,
25410,1,rana catesbeiana,Aquarana catesbeiana,8400,rana catesbeiana,species,1,,,,,,,,
25425,1,erwinia carotovora,Pectobacterium carotovorum,554,erwinia carotovora,species,1,,,,,,,,
25429,1,rhodobacter sphaeroides,Cereibacter sphaeroides,1063,rhodobacter sphaeroides,species,1,,,,,,,,
25443,1,streptococcus rattus,Streptococcus ratti,1341,streptococcus rattus,species,1,,,,,,,,
25447,1,microsporum gypseum,Nannizzia gypsea,63402,microsporum gypseum,species,1,,,,,,,,
25463,1,sophora japonica,Styphnolobium japonicum,3897,sophora japonica,species,1,,,,,,,,
